0.739,55.651
0.888,52.515
5.77,52.071
2.958,52.071
7.249,48.964
4.586,48.669
6.066,45.415
3.107,42.555
2.219,39.793
10.799,42.751
8.728,40.976
15.533,39.102
15.533,36.243
15.828,33.876
12.278,31.805
15.533,29.881
18.343,28.402
18.491,25
18.787,22.041
23.521,20.71
24.556,23.965
27.219,20.415
27.367,16.716
26.775,13.609
29.29,14.053
36.538,13.166
35.355,9.911
33.432,7.396
30.03,9.911
37.525,8.334
40.089,7.249
42.751,8.728
42.603,6.657
45.118,5.671
49.556,5.918
49.26,1.036
55.869,1.924
53.402,1.331
58.432,0.74
59.32,3.402
57.84,5.769
61.242,5.769
64.94,5.693
66.124,8.136
66.321,10.897
70.266,10.799
70.266,8.284
71.893,6.51
75.148,9.172
75.592,11.982
76.035,14.349
73.521,16.42
81.805,15.828
86.834,17.012
84.32,16.716
82.988,18.787
81.509,21.746
90.089,23.817
94.822,21.746
100.74,23.521
97.19,26.972
96.598,30.917
100.888,31.952
103.994,31.065
125.296,57.249
126.184,61.094
125,67.308
122.219,67.485
